,time,px,google_trend,twitter_sent
0,2016-01-01,0.0,62.0,0.4253195647624877
1,2016-01-02,-0.8770000000000095,60.0,0.45950765447935443
2,2016-01-03,-3.2250000000000227,69.0,0.43108819388575187
3,2016-01-04,3.132000000000005,74.0,0.3831373510861866
4,2016-01-05,-1.240000000000009,65.0,0.3689086512524027
5,2016-01-06,-2.7889999999999873,64.0,0.4327592903471884
6,2016-01-07,28.815999999999974,79.0,0.415226843783196
7,2016-01-08,-4.909999999999968,80.0,0.3622567182165021
8,2016-01-09,-4.227000000000032,71.0,0.47233105095540656
9,2016-01-10,-0.17899999999997362,69.0,0.32558988952124807
10,2016-01-11,-0.5790000000000077,75.0,0.3644371236133028
11,2016-01-12,-15.500999999999976,70.0,0.3692075231691709
12,2016-01-13,-0.8439999999999941,78.0,0.3833067006878095
13,2016-01-14,-2.3110000000000355,70.0,0.3475315810674623
14,2016-01-15,-70.96299999999997,93.0,0.15887772259666597
15,2016-01-16,28.899,100.0,0.20905688857244328
16,2016-01-17,-7.456999999999994,86.0,0.34163054017941646
17,2016-01-18,5.635999999999967,77.0,0.28306719606730535
18,2016-01-19,-8.09899999999999,80.0,0.31219861008153377
19,2016-01-20,40.997000000000014,90.0,0.32065355509355387
20,2016-01-21,-8.797000000000025,77.0,0.31122846303923357
21,2016-01-22,-28.18399999999997,72.0,0.2885817681728839
22,2016-01-23,4.42999999999995,72.0,0.21402903342366583
23,2016-01-24,16.41900000000004,69.0,0.34368607410490626
24,2016-01-25,-11.947000000000003,62.0,0.3169901646006843
25,2016-01-26,0.7669999999999959,65.0,0.3542489413528126
26,2016-01-27,3.1990000000000123,64.0,0.39146362045497707
27,2016-01-28,-15.245000000000005,62.0,0.2597357733413938
28,2016-01-29,-1.184000000000026,65.0,0.3427571738344656
29,2016-01-30,-1.2629999999999768,68.0,0.3820101668302153
30,2016-01-31,-9.802000000000021,60.0,0.2925569967809021
31,2016-02-01,4.1129999999999995,61.0,0.4007871724677252
32,2016-02-02,1.629000000000019,64.0,0.3335487367855151
33,2016-02-03,-3.944000000000017,70.0,0.3166260773258052
34,2016-02-04,19.67900000000003,69.0,0.35649066968955984
35,2016-02-05,-3.274000000000001,64.0,0.27473647479307217
36,2016-02-06,-9.93300000000005,51.0,0.2516184795321574
37,2016-02-07,-0.1209999999999809,57.0,0.23375022514070778
38,2016-02-08,-4.182999999999993,62.0,0.2741629157427863
39,2016-02-09,2.2200000000000273,59.0,0.2928842607003814
40,2016-02-10,6.638999999999953,71.0,0.33272933958858936
41,2016-02-11,-2.2399999999999523,70.0,0.3059055494303523
42,2016-02-12,5.405999999999949,61.0,0.3376554959785432
43,2016-02-13,9.05600000000004,61.0,0.3210884423836446
44,2016-02-14,14.555999999999983,60.0,0.34787665278028573
45,2016-02-15,-7.252999999999986,65.0,0.2383998214604501
46,2016-02-16,7.875999999999976,77.0,0.3597033131456954
47,2016-02-17,8.199999999999989,73.0,0.36360077241898653
48,2016-02-18,6.076000000000022,85.0,0.1785607549317159
49,2016-02-19,-1.3029999999999973,69.0,0.3316054307880666
50,2016-02-20,16.182999999999993,72.0,0.3568086097794706
51,2016-02-21,2.4680000000000177,74.0,0.37359471124619037
52,2016-02-22,-0.9130000000000109,70.0,0.3222687670764932
53,2016-02-23,-18.091000000000008,72.0,0.3744658899923512
54,2016-02-24,4.381000000000029,69.0,0.336795609039122
55,2016-02-25,-0.8450000000000273,69.0,0.3559717546645385
56,2016-02-26,8.547000000000025,63.0,0.3963868274582546
57,2016-02-27,0.07399999999995543,68.0,0.3972077338476257
58,2016-02-28,0.5020000000000095,57.0,0.39504254480991263
59,2016-02-29,3.9680000000000177,61.0,0.34601949563529605
60,2016-03-01,-2.9710000000000036,75.0,0.24654826677478028
61,2016-03-02,-12.038999999999987,68.0,0.35675242995996337
62,2016-03-03,-2.132000000000005,84.0,0.33784858703842136
63,2016-03-04,-11.48399999999998,72.0,0.2726872491145153
64,2016-03-05,-10.149000000000001,74.0,0.3763786938932672
65,2016-03-06,6.7169999999999845,77.0,0.3380212632404772
66,2016-03-07,8.432000000000016,67.0,0.3381076093351545
67,2016-03-08,-1.2240000000000464,70.0,0.3763786938932672
68,2016-03-09,0.8600000000000136,67.0,0.3498731923464169
69,2016-03-10,3.54200000000003,57.0,0.33033614718613996
70,2016-03-11,3.7269999999999754,66.0,0.3224757786116235
71,2016-03-12,-9.754999999999995,56.0,0.29253614749143225
72,2016-03-13,2.158999999999992,54.0,0.3008562881097514
73,2016-03-14,2.8000000000000114,78.0,0.30098854102404804
74,2016-03-15,0.29199999999997317,69.0,0.2669814246068414
75,2016-03-16,0.8700000000000045,59.0,0.3381389026010943
76,2016-03-17,2.1990000000000123,62.0,0.288153190676341
77,2016-03-18,-10.415999999999997,59.0,0.28817423977630224
78,2016-03-19,0.48399999999998045,69.0,0.2885745492903641
79,2016-03-20,2.2309999999999945,57.0,0.3434886883973499
80,2016-03-21,0.6720000000000255,61.0,0.355733711248887
81,2016-03-22,5.502999999999986,77.0,0.26718441752095856
82,2016-03-23,0.4600000000000364,65.0,0.32932874062375844
83,2016-03-24,-3.045000000000016,65.0,0.32428491314198343
84,2016-03-25,1.3460000000000036,58.0,0.3808252644679387
85,2016-03-26,1.0430000000000064,57.0,0.3746017108639847
86,2016-03-27,8.647999999999968,63.0,0.3698464187327709
87,2016-03-28,-2.622000000000014,65.0,0.3381437762504684
88,2016-03-29,-7.2029999999999745,69.0,0.3466711516958536
89,2016-03-30,-2.8629999999999995,65.0,0.39616431694944504
