,time,px,google_trend,twitter_sent
107,2016-04-17,427.862,30.0,0.3497153326293459
108,2016-04-18,429.054,30.0,0.2644667773437446
109,2016-04-19,436.105,29.0,0.3017306656552193
110,2016-04-20,442.156,33.0,0.26430354944603623
111,2016-04-21,451.102,36.0,0.2903307628695402
112,2016-04-22,447.636,36.0,0.3189694658033139
113,2016-04-23,452.584,32.0,0.38026377733597566
114,2016-04-24,460.327,34.0,0.3174071663920864
115,2016-04-25,462.51,36.0,0.329306100526953
116,2016-04-26,467.803,37.0,0.3124588537386968
117,2016-04-27,445.012,32.0,0.3792398299813283
118,2016-04-28,449.856,39.0,0.33429139240505784
119,2016-04-29,456.35,34.0,0.3576448296007701
120,2016-04-30,449.333,31.0,0.40519362613818133
121,2016-05-01,453.042,29.0,0.36310645637334954
122,2016-05-02,444.513,100.0,0.18729570763311865
123,2016-05-03,450.274,65.0,0.30813922734026045
124,2016-05-04,446.962,44.0,0.23659514731369022
125,2016-05-05,448.527,44.0,0.20648146702280476
126,2016-05-06,460.374,43.0,0.2078140383426082
127,2016-05-07,459.465,33.0,0.2689917447306732
128,2016-05-08,459.437,44.0,0.35049324792242476
129,2016-05-09,461.491,40.0,0.3265867596484484
130,2016-05-10,450.987,43.0,0.3604571483034681
131,2016-05-11,452.113,41.0,0.37739885817307006
132,2016-05-12,454.818,36.0,0.32809291998323575
133,2016-05-13,455.735,34.0,0.28166229962397954
134,2016-05-14,455.753,31.0,0.37939751992913295
135,2016-05-15,457.848,30.0,0.3014645617529886
136,2016-05-16,453.41,35.0,0.27463099912739447
137,2016-05-17,452.746,34.0,0.33570107913668956
138,2016-05-18,453.378,35.0,0.26552087618263864
139,2016-05-19,436.729,36.0,0.2732430620154998
140,2016-05-20,442.953,30.0,0.3051162568049491
141,2016-05-21,443.135,33.0,0.31765363076348035
142,2016-05-22,438.773,32.0,0.4097311028037328
143,2016-05-23,443.734,32.0,0.32875007304600773
144,2016-05-24,445.13,30.0,0.4494476584899499
145,2016-05-25,449.234,30.0,0.3544074033552039
146,2016-05-26,453.819,35.0,0.31587238979118143
147,2016-05-27,473.467,37.0,0.24827160645029667
148,2016-05-28,525.433,44.0,0.38099360150061884
149,2016-05-29,524.083,47.0,0.3284799157007376
150,2016-05-30,532.586,49.0,0.2800896477071434
151,2016-05-31,531.797,49.0,0.3099834273772165
152,2016-06-01,536.424,40.0,0.30061911604615205
153,2016-06-02,538.145,42.0,0.2450102024453806
154,2016-06-03,570.471,46.0,0.3025819760619547
155,2016-06-04,573.45,49.0,0.27140120928418454
156,2016-06-05,574.106,41.0,0.35819220485396086
157,2016-06-06,585.531,48.0,0.2988258504875425
158,2016-06-07,577.856,44.0,0.24017513079222366
159,2016-06-08,583.105,43.0,0.2887698920177814
160,2016-06-09,576.454,42.0,0.30201992948983597
161,2016-06-10,579.131,41.0,0.3222471579857348
162,2016-06-11,611.777,38.0,0.4076634307050225
163,2016-06-12,675.343,58.0,0.341134429028811
164,2016-06-13,705.619,71.0,0.3366560148821822
165,2016-06-14,685.989,62.0,0.3468956086122337
166,2016-06-15,696.323,56.0,0.2871656536312804
167,2016-06-16,768.242,63.0,0.3365956876206801
168,2016-06-17,747.554,59.0,0.27592476990795867
169,2016-06-18,755.684,55.0,0.2947043637767876
170,2016-06-19,764.045,54.0,0.3439561633281947
171,2016-06-20,727.949,53.0,0.3325847367342702
172,2016-06-21,665.876,61.0,0.23146834750911277
173,2016-06-22,602.887,55.0,0.2579677067082685
174,2016-06-23,625.495,60.0,0.2787046361880205
175,2016-06-24,665.162,84.0,0.34679653206650646
176,2016-06-25,665.329,54.0,0.37565044539115683
177,2016-06-26,630.246,50.0,0.3088728749999964
178,2016-06-27,658.399,48.0,0.2967777047913456
179,2016-06-28,646.304,48.0,0.28987434554973207
180,2016-06-29,639.082,42.0,0.21678311970025452
181,2016-06-30,672.485,46.0,0.2174852923202279
182,2016-07-01,676.523,42.0,0.18370020475020263
183,2016-07-02,703.686,42.0,0.27316696747114266
184,2016-07-03,659.688,44.0,0.3130358439024379
185,2016-07-04,681.63,42.0,0.34076120481927374
186,2016-07-05,668.092,43.0,0.08666129217791463
187,2016-07-06,676.113,49.0,0.19613104959171396
188,2016-07-07,639.761,47.0,0.33019397209302953
189,2016-07-08,664.743,48.0,0.13072807817589727
190,2016-07-09,650.627,58.0,0.23938360098242908
191,2016-07-10,649.962,46.0,0.1484148699664373
192,2016-07-11,649.027,45.0,0.22462149768615772
193,2016-07-12,664.839,41.0,0.2040144638949629
194,2016-07-13,653.934,37.0,0.2141397016254695
195,2016-07-14,659.636,40.0,0.260020643623358
196,2016-07-15,664.876,37.0,0.20490995113283028
197,2016-07-16,663.541,33.0,0.16607955493741386
198,2016-07-17,679.051,35.0,0.15321263460158177
199,2016-07-18,673.594,37.0,0.20689755082047337
200,2016-07-19,673.843,37.0,0.32649065991988774
201,2016-07-20,666.18,36.0,0.18357908833376166
202,2016-07-21,665.099,36.0,0.0882329504360773
203,2016-07-22,650.822,36.0,0.09082587096774271
204,2016-07-23,654.862,34.0,0.18911767171129232
205,2016-07-24,661.05,33.0,0.13142914859621033
206,2016-07-25,655.135,35.0,0.06063672473867565
207,2016-07-26,651.077,36.0,0.12135496540950716
208,2016-07-27,655.442,40.0,0.20937607718741608
209,2016-07-28,655.627,34.0,0.14419277794426236
210,2016-07-29,656.669,36.0,0.17608367202268196
211,2016-07-30,654.976,33.0,0.2484057277460941
212,2016-07-31,625.881,34.0,0.18399458969712582
213,2016-08-01,607.374,39.0,0.2412003145360596
214,2016-08-02,552.821,44.0,0.10470374837632286
215,2016-08-03,565.2638,78.0,0.003304272972412454
216,2016-08-04,578.3213,51.0,0.13751178188899657
217,2016-08-05,574.9563,41.0,0.008701318027211457
218,2016-08-06,588.4225,37.0,0.16387239610056512
219,2016-08-07,592.78,36.0,0.07583801348865746
220,2016-08-08,590.6225,38.0,0.07778980357536949
221,2016-08-09,584.7588,34.0,0.14059518151815262
222,2016-08-10,592.8925,35.0,0.15275423548215314
223,2016-08-11,586.525,34.0,0.20738133926480956
224,2016-08-12,586.0263,32.0,0.22711955856643787
225,2016-08-13,585.0813,35.0,0.25547670857142757
226,2016-08-14,571.4438,33.0,0.2797141206030126
227,2016-08-15,567.2025,34.0,0.21700561956741438
228,2016-08-16,576.2488,33.0,0.16475889865996549
229,2016-08-17,571.745,39.0,0.18359451549434558
230,2016-08-18,572.5025,37.0,0.13998028628829692
231,2016-08-19,573.6638,27.0,0.1481365494296579
232,2016-08-20,580.7025,34.0,0.22253979925303163
233,2016-08-21,580.69,33.0,0.24657150011381532
234,2016-08-22,584.7325,34.0,0.1962635220125788
235,2016-08-23,581.2813,34.0,0.21294155087404695
236,2016-08-24,577.995,37.0,0.27988746282314825
237,2016-08-25,575.7338,30.0,0.20007696522153162
238,2016-08-26,578.1563,38.0,0.14116481481481014
239,2016-08-27,568.6663,28.0,0.23851097230897633
240,2016-08-28,573.555,36.0,0.23438611303344756
241,2016-08-29,572.3613,35.0,0.16967788268380699
242,2016-08-30,575.9988,29.0,0.20455760226395509
243,2016-08-31,572.3338,32.0,0.27151969540526444
244,2016-09-01,571.6938,34.0,0.3388485923823019
245,2016-09-02,574.1475,34.0,0.2287901587964893
246,2016-09-03,598.3838,33.0,0.26827307415406726
247,2016-09-04,608.9175,35.0,0.30963076521285005
248,2016-09-05,606.0275,39.0,0.226076895984971
249,2016-09-06,611.07,38.0,0.2624447919061857
250,2016-09-07,614.7875,36.0,0.3069095108695654
251,2016-09-08,624.9488,39.0,0.25273369033760423
252,2016-09-09,621.7963,36.0,0.2692117964352718
253,2016-09-10,622.2125,32.0,0.28042864812103424
254,2016-09-11,605.8088,36.0,0.22487355316285118
255,2016-09-12,606.3075,35.0,0.23980054336889195
256,2016-09-13,606.9213,38.0,0.29028274376417507
257,2016-09-14,608.22,34.0,0.1753875901517012
258,2016-09-15,605.21,36.0,0.2822328132863611
259,2016-09-16,606.3338,36.0,0.2672311447400507
260,2016-09-17,605.2938,33.0,0.26892283263791983
261,2016-09-18,608.6988,34.0,0.3515082819174131
262,2016-09-19,608.5275,31.0,0.25279100328531734
263,2016-09-20,599.4738,34.0,0.29015824286795683
264,2016-09-21,595.7988,40.0,0.2575968337730834
265,2016-09-22,595.035,38.0,0.18654608532583422
266,2016-09-23,601.7138,34.0,0.19706788902292016
267,2016-09-24,601.3413,33.0,0.24404409860557805
268,2016-09-25,599.1763,30.0,0.25460723163841464
269,2016-09-26,606.8125,31.0,0.27840527142215854
270,2016-09-27,604.7625,34.0,0.25901758921045154
271,2016-09-28,603.5188,33.0,0.23614213353799088
272,2016-09-29,605.0588,38.0,0.22154460648730515
273,2016-09-30,608.4375,34.0,0.1763124211547826
274,2016-10-01,613.9338,32.0,0.22290793727382557
275,2016-10-02,610.2913,22.0,0.25397236055776745
276,2016-10-03,612.3375,26.0,0.24894870160528734
277,2016-10-04,609.375,27.0,0.13587778551532018
278,2016-10-05,610.885,27.0,0.2235647845865663
279,2016-10-06,610.9,24.0,0.21907250589159652
280,2016-10-07,616.4888,27.0,0.3173949987977878
281,2016-10-08,616.5963,25.0,0.4301817229092395
282,2016-10-09,614.6238,26.0,0.24025074980268077
283,2016-10-10,617.4225,28.0,0.32082203931203895
284,2016-10-11,639.3738,30.0,0.25198987341771895
285,2016-10-12,635.0813,34.0,0.17415020852641427
286,2016-10-13,635.02,29.0,0.2884104075523812
287,2016-10-14,638.3675,29.0,0.3039752453914286
288,2016-10-15,637.3713,26.0,0.3209531548311936
289,2016-10-16,639.8275,26.0,0.2678803625377642
290,2016-10-17,636.92,26.0,0.29023776015857183
291,2016-10-18,635.5088,24.0,0.2569891902142991
292,2016-10-19,628.1538,28.0,0.19765111612741756
