Time,bit-x,bitbay,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,kraken,others
2019-05-09 00:00:00 UTC,7900.1543,2045.96934842,9011.82604912998,4971.77541626999,3878.37493537,10024.39515021,16748.73611595,2043.5230458047,12481.60454849,5491.74580364281
2019-05-10 00:00:00 UTC,8107.041,2550.1159067,14493.48955268,7454.44742709997,4966.22868855,15907.60051655,20948.72773815,3414.3647314984,17673.04850037,7962.9600573382195
2019-05-11 00:00:00 UTC,8904.9283,4574.74144945,37945.3717406809,13561.2529144798,10091.73134408,26221.54554342,43553.4456431502,5637.0057688176,30880.8836626899,10731.980756727102
2019-05-12 00:00:00 UTC,8727.0598,6383.69506684,31958.8252841904,17376.7153704498,10483.41222517,32254.8726584599,48708.3871545001,9696.45856453769,32179.1434839099,15020.59022191125
2019-05-13 00:00:00 UTC,7813.4099,6257.62853656,36409.129529211,16497.2590012199,14311.76096091,32680.4426708899,55328.4229300505,8023.112847513,35524.7531759899,13549.56224534944
2019-05-14 00:00:00 UTC,6715.4812,4981.02050806,29342.8953334801,16153.4371234898,13844.54819199,23708.44509883,46905.26985664,5334.1344157114,32432.6475092,13215.996820192038
2019-05-15 00:00:00 UTC,5892.1114,4291.65240132,19034.7468155399,11159.4150837999,8631.0988348,19563.85734554,29429.0937331099,3420.4960532474,21186.59165921,9567.592207206839
2019-05-16 00:00:00 UTC,5645.0345,4877.50178508,22313.8762668001,10638.4829464799,10359.4408985,20160.13233454,33958.07770792,3821.5060349368,24152.62307989,10329.75003010316
2019-05-17 00:00:00 UTC,6195.6688,6962.34027187,29021.9228755601,13682.1029986899,14274.00795891,31420.9877922602,55417.3645719414,8410.18576887313,36107.09707411,14977.24739681051
2019-05-18 00:00:00 UTC,5651.891,3862.12864612,9319.33096967984,5158.95456758999,6236.91336598999,8565.756807,12956.52268145,1254.0016818848,10527.77544034,5006.3177266048715
2019-05-19 00:00:00 UTC,5632.9082,3452.30380131,23354.5661249203,11748.3490474899,8587.39055233,17454.65707361,29100.0039018699,2486.787294799,23650.1735330299,8600.40385357296
2019-05-20 00:00:00 UTC,6266.0061,4201.27150978,16851.1641897699,10121.3407769399,7173.88090039,15396.97986458,29484.38595703,3771.4502367195,21078.30516075,7783.04021936002
2019-05-21 00:00:00 UTC,10174.5989,2522.57611092,7765.38654955991,6029.90927783999,4464.88241595,9212.28685376,16403.50624998,1845.6485007683,13270.38792409,5568.652060891591
2019-05-22 00:00:00 UTC,11440.9179,2750.11819478,10782.3873035899,6292.65813147997,5264.00137706,9983.38972198998,20396.16318123,2278.6435143008,15783.93310438,6391.27703460858
2019-05-23 00:00:00 UTC,8357.6459,2677.11541581,10546.9930013499,6265.85961583998,6211.22891071,9989.85064409,17429.49603582,1829.045568307,14878.69790746,5219.14295073448
2019-05-24 00:00:00 UTC,14613.6332,2600.37503528,10925.2891669099,6137.18745028998,4838.40977286,10707.39046279,17400.99072217,1574.2819609572,13317.3109122,4855.189342648817
2019-05-25 00:00:00 UTC,16139.3574,1661.56737262,4335.01874624996,3404.83858425,2365.28404116,3732.13244123,6423.19815478,710.6125443519,5648.81760832,2690.1095279993965
2019-05-26 00:00:00 UTC,14730.2311,1990.42006575,20128.6336391113,7531.59882920994,6052.99239072997,10364.09568659,23772.4997375702,2687.8747502625,18161.34583235,5780.26693244356
2019-05-27 00:00:00 UTC,14909.5813,2890.2303111,17561.8719515401,8045.17324973995,5836.43546853999,11320.71063186,21938.72840498,2344.3938902206,15249.26544089,5836.461845510059
2019-05-28 00:00:00 UTC,16462.8345,2411.74035764,11097.07845024,4668.47656546999,3812.15175533,7565.25918887,14466.190332,2265.0204810977,11247.19773635,4382.471979983568
2019-05-29 00:00:00 UTC,16162.6875,2284.96889119,10304.6408121,5397.11082083997,4022.85651059,9019.44551918,14824.68082747,1898.4911164224,11553.23872465,4092.430127099777
2019-05-30 00:00:00 UTC,14016.2209,3332.9250591,20197.5167799004,10627.1141015799,7537.66111648999,18124.46263224,36811.4873475803,4602.23894018409,25607.79619789,7713.3650577745575
2019-05-31 00:00:00 UTC,11740.6985,3184.42906768,10929.8062990099,7476.58621339995,5523.98918951,11599.69806023,19107.37619703,2416.1973816868,15545.98112081,5306.282420897257
2019-06-01 00:00:00 UTC,16537.6008,1511.17267526,5446.41716707,3524.83521906,2467.95805509,5604.31373162,8531.7705649,641.2959347,5181.6194381,2499.839100866147
2019-06-02 00:00:00 UTC,16526.9691,1407.21307964,6232.66136435992,4508.81931357998,2658.89916297,5089.1204666,7131.86480775999,505.653571193,6959.68738005,3222.3632605377743
2019-06-03 00:00:00 UTC,16191.8718,2638.82302484,18662.4437671903,6922.31101215996,4582.62021950999,11754.58309143,19329.4675503701,2748.4377311475,16149.40279573,5291.053676336051
2019-06-04 00:00:00 UTC,14125.8503,3320.61147355,28124.3405355603,12759.1025297099,9974.50214388998,18353.35687617,36040.0365520703,6700.55785595199,27513.89667836,8463.39891998934
2019-06-05 00:00:00 UTC,16044.2688,2575.51979499,10825.4963063399,8644.14083683996,5317.36853756,10417.52439589,15852.12618951,1914.1021136824,14390.46813191,4430.449307240846
2019-06-06 00:00:00 UTC,14883.07,2131.74328829,7553.39309031001,5537.59864698998,3776.8669205,9746.53945177,14489.5107345,1396.4134373654,13727.84441575,4734.301242423573
2019-06-07 00:00:00 UTC,16408.8265,2502.99799521,13449.89959481,5600.69350891997,4081.55699789,10269.2890968,14725.2049622,1726.0593193646,12539.39188056,4684.9355502540375
