datetime,px_change
2016-01-01,0.0
2016-01-02,-0.8770000000000095
2016-01-03,-3.2250000000000227
2016-01-04,3.132000000000005
2016-01-05,-1.240000000000009
2016-01-06,-2.7889999999999873
2016-01-07,28.815999999999974
2016-01-08,-4.909999999999968
2016-01-09,-4.227000000000032
2016-01-10,-0.17899999999997362
2016-01-11,-0.5790000000000077
2016-01-12,-15.500999999999976
2016-01-13,-0.8439999999999941
2016-01-14,-2.3110000000000355
2016-01-15,-70.96299999999997
2016-01-16,28.899
2016-01-17,-7.456999999999994
2016-01-18,5.635999999999967
2016-01-19,-8.09899999999999
2016-01-20,40.997000000000014
2016-01-21,-8.797000000000025
2016-01-22,-28.18399999999997
2016-01-23,4.42999999999995
2016-01-24,16.41900000000004
2016-01-25,-11.947000000000003
2016-01-26,0.7669999999999959
2016-01-27,3.1990000000000123
2016-01-28,-15.245000000000005
2016-01-29,-1.184000000000026
2016-01-30,-1.2629999999999768
2016-01-31,-9.802000000000021
2016-02-01,4.1129999999999995
2016-02-02,1.629000000000019
2016-02-03,-3.944000000000017
2016-02-04,19.67900000000003
2016-02-05,-3.274000000000001
2016-02-06,-9.93300000000005
2016-02-07,-0.1209999999999809
2016-02-08,-4.182999999999993
2016-02-09,2.2200000000000273
2016-02-10,6.638999999999953
2016-02-11,-2.2399999999999523
2016-02-12,5.405999999999949
2016-02-13,9.05600000000004
2016-02-14,14.555999999999983
2016-02-15,-7.252999999999986
2016-02-16,7.875999999999976
2016-02-17,8.199999999999989
2016-02-18,6.076000000000022
2016-02-19,-1.3029999999999973
2016-02-20,16.182999999999993
2016-02-21,2.4680000000000177
2016-02-22,-0.9130000000000109
2016-02-23,-18.091000000000008
2016-02-24,4.381000000000029
2016-02-25,-0.8450000000000273
2016-02-26,8.547000000000025
2016-02-27,0.07399999999995543
2016-02-28,0.5020000000000095
2016-02-29,3.9680000000000177
2016-03-01,-2.9710000000000036
2016-03-02,-12.038999999999987
2016-03-03,-2.132000000000005
2016-03-04,-11.48399999999998
2016-03-05,-10.149000000000001
2016-03-06,6.7169999999999845
2016-03-07,8.432000000000016
2016-03-08,-1.2240000000000464
2016-03-09,0.8600000000000136
2016-03-10,3.54200000000003
2016-03-11,3.7269999999999754
2016-03-12,-9.754999999999995
2016-03-13,2.158999999999992
2016-03-14,2.8000000000000114
2016-03-15,0.29199999999997317
2016-03-16,0.8700000000000045
2016-03-17,2.1990000000000123
2016-03-18,-10.415999999999997
2016-03-19,0.48399999999998045
2016-03-20,2.2309999999999945
2016-03-21,0.6720000000000255
2016-03-22,5.502999999999986
2016-03-23,0.4600000000000364
2016-03-24,-3.045000000000016
2016-03-25,1.3460000000000036
2016-03-26,1.0430000000000064
2016-03-27,8.647999999999968
2016-03-28,-2.622000000000014
2016-03-29,-7.2029999999999745
2016-03-30,-2.8629999999999995
2016-03-31,2.4710000000000036
2016-04-01,1.8480000000000132
2016-04-02,2.676999999999964
2016-04-03,-0.3009999999999877
2016-04-04,0.03100000000000591
2016-04-05,3.237000000000023
2016-04-06,-0.9530000000000314
2016-04-07,-0.4959999999999809
2016-04-08,-3.115000000000009
2016-04-09,0.3299999999999841
2016-04-10,2.6920000000000073
2016-04-11,1.879000000000019
2016-04-12,3.0
2016-04-13,-1.5889999999999986
2016-04-14,0.7049999999999841
2016-04-15,4.874000000000024
2016-04-16,0.8569999999999709
2016-04-17,-2.974999999999966
2016-04-18,1.1919999999999504
2016-04-19,7.051000000000045
2016-04-20,6.050999999999988
2016-04-21,8.94599999999997
2016-04-22,-3.4659999999999513
2016-04-23,4.947999999999979
2016-04-24,7.742999999999995
2016-04-25,2.1829999999999927
2016-04-26,5.293000000000006
2016-04-27,-22.790999999999997
2016-04-28,4.843999999999994
2016-04-29,6.494000000000028
2016-04-30,-7.016999999999996
2016-05-01,3.7089999999999463
2016-05-02,-8.528999999999996
2016-05-03,5.761000000000024
2016-05-04,-3.312000000000012
2016-05-05,1.5649999999999977
2016-05-06,11.847000000000037
2016-05-07,-0.9090000000000487
2016-05-08,-0.027999999999963165
2016-05-09,2.0539999999999736
2016-05-10,-10.503999999999962
2016-05-11,1.1259999999999764
2016-05-12,2.704999999999984
2016-05-13,0.91700000000003
2016-05-14,0.01799999999997226
2016-05-15,2.0950000000000273
2016-05-16,-4.437999999999988
2016-05-17,-0.6640000000000441
2016-05-18,0.632000000000005
2016-05-19,-16.649
2016-05-20,6.2239999999999895
2016-05-21,0.18200000000001637
2016-05-22,-4.361999999999966
2016-05-23,4.960999999999956
2016-05-24,1.396000000000015
2016-05-25,4.103999999999985
2016-05-26,4.585000000000036
2016-05-27,19.647999999999968
2016-05-28,51.96600000000001
2016-05-29,-1.3500000000000227
2016-05-30,8.503000000000043
2016-05-31,-0.7889999999999873
2016-06-01,4.626999999999953
2016-06-02,1.7210000000000036
2016-06-03,32.32600000000002
2016-06-04,2.979000000000042
2016-06-05,0.6559999999999491
2016-06-06,11.424999999999955
2016-06-07,-7.6749999999999545
2016-06-08,5.249000000000024
2016-06-09,-6.651000000000067
2016-06-10,2.677000000000021
2016-06-11,32.64600000000007
2016-06-12,63.56599999999992
2016-06-13,30.276000000000067
2016-06-14,-19.629999999999995
2016-06-15,10.333999999999946
2016-06-16,71.91899999999998
2016-06-17,-20.687999999999988
2016-06-18,8.129999999999995
2016-06-19,8.36099999999999
2016-06-20,-36.096000000000004
2016-06-21,-62.07299999999998
2016-06-22,-62.98900000000003
2016-06-23,22.60800000000006
2016-06-24,39.66700000000003
2016-06-25,0.16699999999991633
